Date,AAPL,BP,GE,IBM,KO
2018-04-24,40.73500061035156,44.2400016784668,88.15228271484375,139.15870666503906,43.06999969482422
2018-04-25,40.912498474121094,44.16999816894531,84.36918640136719,139.52198791503906,42.43000030517578
2018-04-26,41.05500030517578,44.849998474121094,86.3508071899414,140.26768493652344,42.75
2018-04-27,40.58000183105469,44.220001220703125,86.3508071899414,140.03823852539062,43.310001373291016
2018-04-30,41.314998626708984,44.59000015258789,84.4892807006836,138.5850830078125,43.209999084472656
2018-05-01,42.275001525878906,44.79999923706055,84.36918640136719,138.62332153320312,42.59000015258789
2018-05-02,44.14250183105469,44.70000076293945,85.14982604980469,136.1854705810547,42.060001373291016
2018-05-03,44.22249984741211,44.72999954223633,83.64859008789062,135.74569702148438,41.88999938964844
2018-05-04,45.95750045776367,45.34000015258789,84.66942596435547,137.58126831054688,42.36000061035156
2018-05-07,46.290000915527344,45.689998626708984,84.4892807006836,136.92160034179688,42.13999938964844
2018-05-08,46.51250076293945,45.33000183105469,85.69026947021484,136.71128845214844,41.810001373291016
2018-05-09,46.84000015258789,46.779998779296875,87.7919921875,136.3384246826172,41.779998779296875
2018-05-10,47.5099983215332,45.880001068115234,88.21233367919922,137.89674377441406,42.18000030517578
2018-05-11,47.147499084472656,45.83000183105469,87.67189025878906,137.8011474609375,42.13999938964844
2018-05-14,47.037498474121094,46.400001525878906,88.33243560791016,137.95411682128906,42.040000915527344
2018-05-15,46.61000061035156,46.790000915527344,88.33243560791016,137.41873168945312,41.720001220703125
2018-05-16,47.04499816894531,46.709999084472656,90.2540054321289,138.26959228515625,41.54999923706055
2018-05-17,46.747501373291016,47.189998626708984,90.2540054321289,138.1453094482422,42.29999923706055
2018-05-18,46.57749938964844,47.380001068115234,89.89371490478516,137.74378967285156,42.18000030517578
2018-05-21,46.907501220703125,47.790000915527344,91.63513946533203,139.09178161621094,42.40999984741211
2018-05-22,46.790000915527344,47.09000015258789,91.81529235839844,138.70936584472656,42.25
2018-05-23,47.09000015258789,46.45000076293945,85.14982604980469,138.30784606933594,42.400001525878906
2018-05-24,47.037498474121094,45.75,87.67189025878906,137.73422241210938,42.31999969482422
2018-05-25,47.14500045776367,44.349998474121094,87.85203552246094,137.32313537597656,42.400001525878906
2018-05-29,46.974998474121094,44.540000915527344,85.14982604980469,135.0095672607422,42.68000030517578
2018-05-30,46.875,45.709999084472656,85.08977508544922,136.34799194335938,43.130001068115234
